"","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"3","ENSG00000121410","ENST00000595014","19",55.83,1,"A1BG","A1BG-002",-1,"q13.43",2301
"12","ENSG00000268895","ENST00000595302","19",55.91,503538,"A1BG-AS1","A1BG-AS1-001",1,"q13.43",2130
"13","ENSG00000148584","ENST00000374001","10",36.24,29974,"A1CF","A1CF-001",-1,"q11.23",9221
"26","ENSG00000175899","ENST00000318602","12",37.18,2,"A2M","A2M-001",-1,"p13.31",4844
"36","ENSG00000166535","ENST00000299698","12",44.25,144568,"A2ML1","A2ML1-001",1,"p13.31",5274
"46","ENSG00000256069","ENST00000566278","12",37.03,3,"A2MP1","A2MP1-003",-1,"p13.31",4130
"49","ENSG00000128274","ENST00000401850","22",52.39,53947,"A4GALT","A4GALT-004",-1,"q13.2",2321
"54","ENSG00000118017","ENST00000236709","3",42.65,51146,"A4GNT","A4GNT-001",-1,"q22.3",1771
"56","ENSG00000094914","ENST00000552876","12",49.39,8086,"AAAS","AAAS-003",-1,"q13.13",2016
"84","ENSG00000081760","ENST00000545511","12",51.22,65985,"AACS","AACS-005",1,"q24.31",6640
"89","ENSG00000250420","ENST00000503486","5",48.81,729522,"AACSP1","AACSP1-002",-1,"q35.3",2822
"92","ENSG00000114771","ENST00000232892","3",35.33,13,"AADAC","AADAC-001",1,"q25.1",1642
"94","ENSG00000261846","ENST00000576369","HSCHR3_1_CTG2_1",35.3,344752,"AADACL2","AADACL2-002",1,"q25.1",4848
"98","ENSG00000188984","ENST00000332530","1",46.1,126767,"AADACL3","AADACL3-001",1,"p36.21",3832
"100","ENSG00000204518","ENST00000376221","1",47.23,343066,"AADACL4","AADACL4-001",1,"p36.21",1575
"101","ENSG00000109576","ENST00000337664","4",38.78,51166,"AADAT","AADAT-004",-1,"q33",2261
"109","ENSG00000103591","ENST00000261880","15",39.49,79719,"AAGAB","AAGAB-001",-1,"q23",2841
"117","ENSG00000115977","ENST00000409085","2",41.98,22848,"AAK1","AAK1-001",-1,"p13.3",11345
"128","ENSG00000127837","ENST00000475678","2",56.53,14,"AAMP","AAMP-004",-1,"q35",2270
"136","ENSG00000129673","ENST00000250615","17",53.01,15,"AANAT","AANAT-001",1,"q25.1",1913
"140","ENSG00000090861","ENST00000261772","16",49.47,16,"AARS","AARS-001",-1,"q22.1",3477
"148","ENSG00000124608","ENST00000244571","6",54.66,57505,"AARS2","AARS2-001",-1,"p21.1",3854
"156","ENSG00000266967","ENST00000427569","17",48.21,80755,"AARSD1","AARSD1-001",-1,"q21.31",1322
"170","ENSG00000157426","ENST00000205214","4",38.97,132949,"AASDH","AASDH-001",-1,"q12",3590
"184","ENSG00000149313","ENST00000534152","11",36.57,60496,"AASDHPPT","AASDHPPT-003",1,"q22.3",5145
"186","ENSG00000008311","ENST00000393376","7",36.48,10157,"AASS","AASS-003",-1,"q31.32",3233
"192","ENSG00000108270","ENST00000225402","17",40.51,26574,"AATF","AATF-001",1,"q12",2141
"201","ENSG00000181409","ENST00000326724","17",61.42,9625,"AATK","AATK-001",-1,"q25.3",5257
"211","ENSG00000225180","ENST00000414089","17",56.74,388428,"AATK-AS1","AATK-AS1-001",1,"q25.3",1577
"228","ENSG00000183044","ENST00000396600","16",47.35,18,"ABAT","ABAT-201",1,"p13.2",5586
"229","ENSG00000165029","ENST00000374736","9",43.42,19,"ABCA1","ABCA1-002",-1,"q31.1",10494
"235","ENSG00000154263","ENST00000269081","17",36.13,10349,"ABCA10","ABCA10-001",-1,"q24.3",6362
"249","ENSG00000251595","ENST00000504019","4",39.69,79963,"ABCA11P","ABCA11P-001",-1,"p16.3",2110
